algo,kp,ki,beta,drift_roll,drift_pitch,drift_yaw,noise_roll,noise_pitch,dyn_roll,dyn_pitch,score
Mahony,0.5,0.05,,14437.837199620042,1756.4313420430944,14440.970997124481,46.52382938053212,9.520782883154476,14.6912841796875,1.6484899520874023,0.44301650970748624
Mahony,0.5,0.1,,9541.069450504292,1590.411281362657,9545.531270986026,60.77871676957808,8.365940382705476,9.824172973632812,1.7007910013198853,0.3513649702105059
Mahony,0.5,0.3,,-9412.773769144156,1094.4287113323558,-9403.355672530892,75.28096281043752,7.292396258768247,19.59288787841797,1.773389458656311,0.46768226383889644
Mahony,0.5,0.5,,-10708.752372956793,1451.471716935347,-10697.848543224252,65.5830500436297,6.97356946659596,18.346969604492188,1.8959282636642456,0.46235609677719186
Mahony,0.5,1.0,,-7611.637770362959,1509.6115367845712,-7597.13225002377,77.84846819496595,8.377114190471756,9.725037574768066,1.812806487083435,0.3652402444386498
Mahony,1.0,0.0,,100.9107834611206,833.3381755403841,106.02504623131367,0.4021159709164366,4.85080705955983,9.66832160949707,1.8540714979171753,0.09360634551929455
Mahony,1.0,0.01,,132.85761968906377,848.5229553278162,137.99360728475,0.5157962677717686,4.94859714087035,9.66703987121582,1.8615026473999023,0.09578996539787439
Mahony,1.0,0.05,,272.6988754500228,808.0770636964816,278.08855884687955,3.2991950257946,5.357192362189225,9.667820930480957,1.8861827850341797,0.10579210944236438
Mahony,1.0,0.1,,-3478.0632071356995,698.862967803806,-3472.131819659183,75.796570836848,5.1270559173127115,9.666055679321289,1.9090086221694946,0.2694010156523949
Mahony,1.0,0.3,,-10750.25048477346,456.97141568420057,-10741.917128169001,67.80193830234509,3.7688297319794546,9.683292388916016,1.9442697763442993,0.3102573686451884
Mahony,1.0,0.5,,-11870.63809287206,437.6291777480902,-11860.715180587524,60.19274748468225,3.408034367886987,15.647448539733887,1.9131993055343628,0.370726218880491
Mahony,1.0,1.0,,-10914.311273913701,664.3401084606962,-10901.448729554248,53.95800517689922,3.969063460966707,9.6943359375,1.9132884740829468,0.29304864671837805
Mahony,2.0,0.0,,29.57386555361309,150.85651256542607,35.65516576865884,0.2948767993367776,1.3643397934060468,9.580395698547363,2.236421585083008,0.056975099487157184
Mahony,2.0,0.01,,31.83807936860397,151.37508727909335,37.95336133484163,0.31737381349280047,1.3750594966302756,9.577535629272461,2.237448215484619,0.057162715157917564
Mahony,2.0,0.05,,31.884334116910516,138.36330699688887,38.162398776781124,0.43723752133828314,1.417615151060446,9.565467834472656,2.2408056259155273,0.057356596203147626
Mahony,2.0,0.1,,-1.7989642321032964,97.27645445127806,4.726498329005587,0.6844185852331738,1.4636885397783952,9.548900604248047,2.2437503337860107,0.05655537768993294
Mahony,2.0,0.3,,-6096.511939765291,-131.99135392050377,-6088.833990841598,42.98588322052805,1.4072174265508592,9.495233535766602,2.248476266860962,0.19750683141016578
Mahony,2.0,0.5,,-10604.068117165225,-154.5573939894756,-10595.310265537819,51.333672088806885,1.0455984948704122,9.700947761535645,2.2484560012817383,0.25861516415258534
Mahony,2.0,1.0,,-11069.233850635756,-39.78477992560323,-11058.361076220339,49.503119528121516,1.4441165341942432,11.805697441101074,2.2379980087280273,0.28342478043627023
Mahony,3.0,0.0,,4.975064799784382,33.532613653338,11.224895411225395,0.16879593677326768,0.38642944952766617,9.388422012329102,2.61643648147583,0.05914211179481488
Mahony,3.0,0.01,,5.128729872695614,33.44898815741377,11.408495199187412,0.17482005012714988,0.38826221655378734,9.384774208068848,2.6165568828582764,0.05913168142324421
Mahony,3.0,0.05,,2.9082711562366512,28.377443656478924,9.316831527861805,0.2017675349716575,0.39538475003678036,9.370519638061523,2.616835355758667,0.05890955748187678
Mahony,3.0,0.1,,-7.238861378365138,13.5358626898141,-0.6531525425848116,0.24212680712693954,0.40267347830247613,9.354058265686035,2.6168465614318848,0.0584333791630949
Mahony,3.0,0.3,,-147.59348598613326,-91.69424034099359,-140.21425835136475,0.541325724557461,0.4017154851317922,9.382977485656738,2.6153135299682617,0.06314208666966852
Mahony,3.0,0.5,,-660.6800663209665,-205.14937722424227,-652.498292697216,3.040330416515602,0.411583394501391,9.64531135559082,2.6133203506469727,0.0796067364008465
Mahony,3.0,1.0,,-8586.451162505922,-237.8324422408767,-8576.517754098542,45.11052709936938,0.5725580540207176,13.105172157287598,2.60394549369812,0.28018473097917634
Mahony,5.0,0.0,,-5.934553455930998,1.6010774211103385,0.3599232910917168,0.09844767139488204,0.034127725977476396,9.969745635986328,3.423598527908325,0.09786012194069288
Mahony,5.0,0.01,,-6.036126414318475,1.5490380211791082,0.28506063542251414,0.0993293629941235,0.03420864049277662,9.990218162536621,3.423675060272217,0.09810050564005844
